0.6	5.4
M 1489422739372997006,52.49939,41.93878,45.239258
M 1489422739393321713,53.579712,41.999817,45.539856
M 1489422739410991390,53.459167,41.09955,45.239258
M 1489422739426524838,52.978516,41.33911,44.758606
M 1489422739443278988,53.15857,41.39862,44.519043
M 1489422739459972103,52.978516,41.39862,43.919373
M 1489422739482158383,53.219604,42.29889,44.039917
M 1489422739493541439,53.09906,42.118835,44.81964
M 1489422739510387142,53.09906,42.29889,44.81964
M 1489422739527171810,53.09906,42.599487,44.81964
M 1489422739544017513,53.338623,42.77954,45.118713
M 1489422739560680111,53.39966,42.77954,45.118713
M 1489422739577464779,53.279114,42.77954,45.059204
M 1489422739594341000,53.338623,42.77954,45.298767
M 1489422739611095150,53.279114,42.599487,45.298767
M 1489422739627849300,53.459167,42.478943,45.41931
M 1489422739644603451,53.579712,42.539978,45.71991
M 1489422739661479672,53.518677,42.478943,45.959473
M 1489422739678233822,53.69873,42.658997,45.71991
M 1489422739695049008,53.63922,42.77954,46.07849
M 1489422739711833675,53.878784,42.77954,46.4386
M 1489422739728557308,53.69873,42.77954,46.559143
M 1489422739745433529,54.058838,42.83905,46.739197
M 1489422739762157162,54.058838,42.89856,46.559143
M 1489422739779308041,54.23889,43.078613,46.4386
M 1489422739795695980,54.299927,42.959595,46.4386
M 1489422739812419613,54.418945,43.078613,46.739197
M 1489422739829601009,54.53949,43.078613,46.798706
M 1489422739846049984,54.359436,43.13965,46.91925
M 1489422739862804134,54.65851,43.13965,46.739197
M 1489422739879588802,54.359436,43.319702,46.739197
M 1489422739896434506,54.119873,43.37921,46.679688
M 1489422739913219174,53.878784,43.258667,46.739197
M 1489422739930003841,53.878784,43.37921,46.739197
M 1489422739946757992,53.69873,43.199158,46.97876
M 1489422739963603695,53.759766,43.319702,46.97876
M 1489422739980357845,53.878784,43.43872,46.97876
M 1489422739997173031,53.63922,43.43872,47.039795
M 1489422740013927181,53.759766,43.37921,46.85974
M 1489422740030711849,53.99933,43.37921,46.91925
M 1489422740047435482,54.058838,43.258667,46.798706
M 1489422740064250668,53.878784,43.199158,46.91925
M 1489422740081126888,53.93982,43.319702,46.91925
M 1489422740097881039,53.878784,43.618774,46.97876
M 1489422740114604672,53.819275,43.43872,46.97876
M 1489422740131450375,53.819275,43.43872,47.099304
M 1489422740148204525,53.819275,43.43872,47.338867
M 1489422740165050228,53.759766,43.559265,47.399902
M 1489422740181773861,53.819275,43.559265,47.51892
M 1489422740198589047,53.819275,43.43872,47.338867
M 1489422740215312679,53.63922,43.319702,47.279358
M 1489422740232097347,53.69873,43.319702,47.399902
M 1489422740248882015,53.819275,43.559265,47.51892
M 1489422740265758236,53.819275,43.43872,47.579956
M 1489422740282451351,53.93982,43.43872,47.399902
M 1489422740299327572,53.878784,43.13965,47.338867
