35.400005	5.4
W (88:51:fb:8a:bc:52,-55),(88:51:fb:8a:bc:50,-36),(d8:9d:67:91:d0:f0,-51),(88:51:fb:8a:bc:51,-35),(88:51:fb:8a:bc:53,-36),(d8:9d:67:91:d0:f3,-49),(88:51:fb:8a:bc:45,-39),(88:51:fb:8a:bc:47,-39),(88:51:fb:8a:bc:40,-39),(88:51:fb:8a:bc:42,-39),(88:51:fb:8a:bc:43,-39),(88:51:fb:8a:bc:46,-39),(88:51:fb:8a:bc:44,-39),(88:51:fb:8a:bc:41,-39),(88:51:fb:8a:bc:55,-55),(88:51:fb:8a:bc:57,-33),(20:c9:d0:19:33:83,-52),(d8:9d:67:91:d0:f2,-49),(00:23:33:a2:48:b8,-66),(00:23:33:a2:48:bd,-65),(00:23:33:a2:48:bc,-65),(00:03:52:e5:44:41,-65),(00:03:52:e5:44:45,-63),(88:51:fb:8a:bc:56,-55),(88:51:fb:8a:bc:54,-35),(00:23:33:a2:48:b9,-64),(00:03:52:2b:84:08,-62),(00:03:52:2b:84:06,-63),(00:03:52:e5:44:49,-72),(00:03:52:e5:44:42,-64),(00:03:52:e5:44:46,-64),(00:03:52:2b:84:01,-62),(20:4c:9e:ea:10:16,-67),(20:4c:9e:ea:10:1c,-67),(20:4c:9e:ea:10:1d,-67),(00:03:52:e3:8b:15,-66),(00:03:52:e3:8b:11,-66),(00:03:52:2b:89:c5,-73),(00:03:52:2b:89:c1,-76),(00:03:52:29:ca:d5,-73),(20:4c:9e:ea:10:19,-68),(00:03:52:e3:8b:16,-64),(00:03:52:2b:89:c6,-78),(00:03:52:2b:89:c2,-76),(00:03:52:e3:8b:12,-66),(00:03:52:29:ca:d6,-70),(00:03:52:e3:8b:18,-66),(00:03:52:29:ca:d2,-79),(00:03:52:29:ca:d1,-74),(00:03:52:29:ca:d8,-66),(00:03:52:e5:44:48,-72),(00:03:52:29:ca:d9,-75),(00:03:52:2b:84:05,-62),(00:03:52:2b:84:02,-65),(d8:9d:67:91:d0:f6,-43),(00:03:52:e3:85:51,-65),(00:03:52:e3:85:52,-71),(00:03:52:e3:85:55,-66),(d8:9d:67:91:d0:f5,-47),(00:03:52:e3:85:58,-65),(00:03:52:e3:85:59,-67),(00:03:52:e3:85:56,-65),(00:3a:9a:51:ab:53,-78),(00:23:33:a2:48:b4,-60),(00:23:33:a2:48:b3,-66),(bc:f1:f2:23:f8:60,-87),(00:1e:4a:56:20:49,-80),(2c:30:33:1d:9d:cc,-75),(00:3a:9a:51:ab:57,-78),(00:3a:9a:51:ab:54,-74),(00:3a:9a:51:ab:51,-74),(c8:cb:b8:f9:8d:d0,-69),(20:4c:9e:a3:ff:89,-75),(c8:cb:b8:f9:8d:d1,-70),(00:23:33:a2:48:b1,-64),(00:23:33:a2:48:b2,-66),(20:4c:9e:a3:ff:86,-76),(c8:cb:b8:f9:8d:c2,-57),(c8:cb:b8:f9:8d:c5,-57),(c8:cb:b8:f9:8d:c7,-58),(c8:cb:b8:f9:8d:c0,-57),(00:14:d1:50:31:1c,-61),(00:23:33:a2:48:b7,-64),(28:f0:76:1e:ad:3a,-65),(c8:cb:b8:f9:8d:d2,-71),(c8:cb:b8:f9:8d:d5,-68),(c8:cb:b8:f9:8d:d7,-74),(c8:cb:b8:f9:8d:c4,-58),(c8:cb:b8:f9:8d:c1,-57),(c8:cb:b8:f9:8d:c3,-57),(c8:cb:b8:f9:8d:c6,-58),(00:23:33:a2:48:b6,-66),(c8:cb:b8:f9:8d:d3,-69),(c8:cb:b8:f9:8d:d4,-73),(c8:cb:b8:f9:8d:d6,-75),(00:3a:9a:51:ab:5c,-73),(20:4c:9e:a3:ff:8c,-76),(bc:f1:f2:2f:7b:dc,-78),(00:3a:9a:51:ab:5d,-78),(00:1e:4a:56:20:4c,-81),(bc:f1:f2:23:f7:40,-87),(00:3a:9a:51:ab:59,-74),

W (88:51:fb:8a:bc:52,-39),(88:51:fb:8a:bc:50,-34),(d8:9d:67:91:d0:f0,-51),(88:51:fb:8a:bc:51,-32),(88:51:fb:8a:bc:53,-35),(d8:9d:67:91:d0:f3,-49),(88:51:fb:8a:bc:45,-39),(88:51:fb:8a:bc:47,-39),(88:51:fb:8a:bc:40,-40),(88:51:fb:8a:bc:42,-40),(88:51:fb:8a:bc:43,-39),(88:51:fb:8a:bc:46,-39),(88:51:fb:8a:bc:44,-39),(88:51:fb:8a:bc:41,-40),(88:51:fb:8a:bc:55,-38),(88:51:fb:8a:bc:57,-32),(20:c9:d0:19:33:83,-58),(d8:9d:67:91:d0:f2,-43),(00:23:33:a2:48:b8,-66),(00:23:33:a2:48:bd,-65),(00:23:33:a2:48:bc,-65),(88:51:fb:8a:bc:56,-39),(88:51:fb:8a:bc:54,-35),(00:23:33:a2:48:b9,-65),(00:03:52:2b:84:08,-59),(00:03:52:2b:84:06,-59),(00:03:52:e5:44:49,-76),(00:03:52:2b:84:01,-58),(20:4c:9e:ea:10:16,-69),(20:4c:9e:ea:10:1c,-69),(20:4c:9e:ea:10:1d,-70),(00:03:52:e3:8b:15,-69),(00:03:52:e3:8b:11,-70),(00:03:52:2b:89:c5,-69),(00:03:52:2b:89:c1,-72),(00:03:52:29:ca:d5,-73),(20:4c:9e:ea:10:19,-70),(00:03:52:e3:8b:16,-69),(00:03:52:2b:89:c6,-74),(00:03:52:2b:89:c2,-68),(00:03:52:e3:8b:12,-71),(00:03:52:29:ca:d6,-70),(00:03:52:e3:8b:18,-70),(00:03:52:29:ca:d2,-74),(00:03:52:29:ca:d1,-73),(00:03:52:29:ca:d8,-73),(00:03:52:e5:44:48,-76),(00:03:52:29:ca:d9,-73),(00:03:52:2b:84:05,-58),(00:03:52:2b:84:02,-59),(00:03:52:e3:85:51,-61),(00:03:52:e3:85:52,-63),(00:03:52:e3:85:55,-62),(d8:9d:67:91:d0:f5,-47),(00:03:52:e3:85:58,-63),(00:03:52:e3:85:59,-60),(00:03:52:e3:85:56,-61),(00:3a:9a:51:ab:53,-78),(00:23:33:a2:48:b3,-66),(00:3a:9a:51:ab:57,-78),(00:3a:9a:51:ab:51,-80),(c8:cb:b8:f9:8d:d0,-73),(20:4c:9e:a3:ff:89,-75),(c8:cb:b8:f9:8d:d1,-73),(00:23:33:a2:48:b1,-63),(00:23:33:a2:48:b2,-70),(20:4c:9e:a3:ff:86,-76),(c8:cb:b8:f9:8d:c2,-57),(c8:cb:b8:f9:8d:c5,-57),(c8:cb:b8:f9:8d:c7,-57),(c8:cb:b8:f9:8d:c0,-57),(00:23:33:a2:48:b7,-71),(c8:cb:b8:f9:8d:d2,-72),(c8:cb:b8:f9:8d:d5,-68),(c8:cb:b8:f9:8d:d7,-74),(c8:cb:b8:f9:8d:c4,-57),(c8:cb:b8:f9:8d:c1,-57),(c8:cb:b8:f9:8d:c3,-57),(c8:cb:b8:f9:8d:c6,-57),(00:23:33:a2:48:b6,-66),(c8:cb:b8:f9:8d:d3,-73),(c8:cb:b8:f9:8d:d4,-72),(c8:cb:b8:f9:8d:d6,-72),(00:3a:9a:51:ab:5c,-73),(20:4c:9e:a3:ff:8c,-76),(bc:f1:f2:2f:7b:dc,-78),(00:3a:9a:51:ab:5d,-78),(00:1e:4a:56:20:4c,-81),(bc:f1:f2:23:f7:40,-87),(00:3a:9a:51:ab:59,-74),(bc:f1:f2:23:f7:42,-85),(20:4e:7f:6f:63:7f,-87),(d8:9d:67:91:d0:f1,-58),(00:03:52:2b:89:c9,-73),(00:03:52:2b:89:c8,-73),

W (88:51:fb:8a:bc:52,-54),(88:51:fb:8a:bc:50,-53),(d8:9d:67:91:d0:f0,-42),(88:51:fb:8a:bc:51,-33),(88:51:fb:8a:bc:53,-34),(d8:9d:67:91:d0:f3,-42),(88:51:fb:8a:bc:45,-39),(88:51:fb:8a:bc:47,-40),(88:51:fb:8a:bc:40,-40),(88:51:fb:8a:bc:42,-40),(88:51:fb:8a:bc:43,-39),(88:51:fb:8a:bc:46,-39),(88:51:fb:8a:bc:44,-40),(88:51:fb:8a:bc:41,-40),(88:51:fb:8a:bc:55,-33),(88:51:fb:8a:bc:57,-34),(20:c9:d0:19:33:83,-58),(d8:9d:67:91:d0:f2,-42),(00:23:33:a2:48:b8,-65),(00:23:33:a2:48:bd,-65),(00:23:33:a2:48:bc,-65),(88:51:fb:8a:bc:56,-33),(88:51:fb:8a:bc:54,-34),(00:23:33:a2:48:b9,-65),(00:03:52:2b:84:08,-59),(00:03:52:2b:84:06,-59),(00:03:52:e5:44:49,-76),(00:03:52:2b:84:01,-57),(20:4c:9e:ea:10:16,-69),(20:4c:9e:ea:10:1c,-70),(20:4c:9e:ea:10:1d,-70),(00:03:52:e3:8b:15,-70),(00:03:52:e3:8b:11,-70),(00:03:52:2b:89:c5,-72),(00:03:52:2b:89:c1,-72),(00:03:52:29:ca:d5,-70),(20:4c:9e:ea:10:19,-70),(00:03:52:e3:8b:16,-71),(00:03:52:2b:89:c6,-73),(00:03:52:2b:89:c2,-71),(00:03:52:e3:8b:12,-71),(00:03:52:29:ca:d6,-71),(00:03:52:e3:8b:18,-66),(00:03:52:29:ca:d2,-71),(00:03:52:29:ca:d1,-71),(00:03:52:29:ca:d8,-73),(00:03:52:e5:44:48,-76),(00:03:52:29:ca:d9,-71),(00:03:52:2b:84:05,-58),(00:03:52:2b:84:02,-57),(00:03:52:e3:85:51,-61),(00:03:52:e3:85:52,-73),(00:03:52:e3:85:55,-73),(00:03:52:e3:85:58,-62),(00:03:52:e3:85:59,-60),(00:03:52:e3:85:56,-62),(00:3a:9a:51:ab:53,-78),(00:23:33:a2:48:b3,-70),(00:3a:9a:51:ab:51,-79),(c8:cb:b8:f9:8d:d0,-74),(c8:cb:b8:f9:8d:d1,-75),(00:23:33:a2:48:b1,-68),(00:23:33:a2:48:b2,-69),(c8:cb:b8:f9:8d:c2,-57),(c8:cb:b8:f9:8d:c5,-57),(c8:cb:b8:f9:8d:c7,-57),(c8:cb:b8:f9:8d:c0,-57),(00:23:33:a2:48:b7,-71),(c8:cb:b8:f9:8d:d2,-72),(c8:cb:b8:f9:8d:d5,-74),(c8:cb:b8:f9:8d:d7,-74),(c8:cb:b8:f9:8d:c4,-57),(c8:cb:b8:f9:8d:c1,-57),(c8:cb:b8:f9:8d:c3,-57),(c8:cb:b8:f9:8d:c6,-57),(00:23:33:a2:48:b6,-69),(c8:cb:b8:f9:8d:d3,-72),(c8:cb:b8:f9:8d:d4,-72),(c8:cb:b8:f9:8d:d6,-72),(bc:f1:f2:23:f7:42,-85),(20:4e:7f:6f:63:7f,-87),(d8:9d:67:91:d0:f1,-47),(00:03:52:2b:89:c9,-72),(00:03:52:2b:89:c8,-72),(2c:30:33:1d:9d:cc,-69),(00:23:33:a2:48:b4,-71),(00:3a:9a:51:ab:52,-79),(00:3a:9a:51:ab:54,-81),(00:03:52:e5:44:42,-77),(00:03:52:e5:44:46,-78),(00:3a:9a:51:ab:56,-83),

W (88:51:fb:8a:bc:52,-39),(88:51:fb:8a:bc:50,-39),(d8:9d:67:91:d0:f0,-54),(88:51:fb:8a:bc:51,-53),(88:51:fb:8a:bc:53,-34),(d8:9d:67:91:d0:f3,-42),(88:51:fb:8a:bc:45,-39),(88:51:fb:8a:bc:47,-39),(88:51:fb:8a:bc:40,-39),(88:51:fb:8a:bc:42,-39),(88:51:fb:8a:bc:43,-39),(88:51:fb:8a:bc:46,-38),(88:51:fb:8a:bc:44,-39),(88:51:fb:8a:bc:41,-38),(88:51:fb:8a:bc:55,-33),(88:51:fb:8a:bc:57,-34),(20:c9:d0:19:33:83,-64),(d8:9d:67:91:d0:f2,-43),(00:23:33:a2:48:b8,-64),(00:23:33:a2:48:bd,-63),(00:23:33:a2:48:bc,-64),(88:51:fb:8a:bc:56,-35),(88:51:fb:8a:bc:54,-34),(00:23:33:a2:48:b9,-64),(00:03:52:2b:84:08,-59),(00:03:52:2b:84:06,-59),(00:03:52:e5:44:49,-78),(00:03:52:2b:84:01,-58),(20:4c:9e:ea:10:16,-73),(20:4c:9e:ea:10:1c,-74),(20:4c:9e:ea:10:1d,-74),(00:03:52:e3:8b:15,-71),(00:03:52:e3:8b:11,-72),(00:03:52:2b:89:c5,-72),(00:03:52:2b:89:c1,-72),(00:03:52:29:ca:d5,-73),(20:4c:9e:ea:10:19,-74),(00:03:52:e3:8b:16,-72),(00:03:52:2b:89:c6,-73),(00:03:52:2b:89:c2,-72),(00:03:52:e3:8b:12,-71),(00:03:52:29:ca:d6,-75),(00:03:52:e3:8b:18,-72),(00:03:52:29:ca:d2,-75),(00:03:52:29:ca:d1,-75),(00:03:52:29:ca:d8,-74),(00:03:52:e5:44:48,-77),(00:03:52:29:ca:d9,-75),(00:03:52:2b:84:05,-59),(00:03:52:2b:84:02,-59),(00:03:52:e3:85:51,-60),(00:03:52:e3:85:52,-63),(00:03:52:e3:85:55,-66),(00:03:52:e3:85:58,-60),(00:03:52:e3:85:59,-61),(00:03:52:e3:85:56,-61),(00:3a:9a:51:ab:53,-78),(00:23:33:a2:48:b3,-70),(00:3a:9a:51:ab:51,-79),(c8:cb:b8:f9:8d:d0,-75),(c8:cb:b8:f9:8d:d1,-74),(00:23:33:a2:48:b1,-70),(00:23:33:a2:48:b2,-69),(c8:cb:b8:f9:8d:c2,-55),(c8:cb:b8:f9:8d:c5,-56),(c8:cb:b8:f9:8d:c7,-55),(c8:cb:b8:f9:8d:c0,-56),(00:23:33:a2:48:b7,-69),(c8:cb:b8:f9:8d:d2,-72),(c8:cb:b8:f9:8d:d5,-72),(c8:cb:b8:f9:8d:d7,-75),(c8:cb:b8:f9:8d:c4,-56),(c8:cb:b8:f9:8d:c1,-56),(c8:cb:b8:f9:8d:c3,-55),(c8:cb:b8:f9:8d:c6,-56),(00:23:33:a2:48:b6,-69),(c8:cb:b8:f9:8d:d3,-74),(c8:cb:b8:f9:8d:d4,-74),(c8:cb:b8:f9:8d:d6,-72),(bc:f1:f2:23:f7:42,-85),(20:4e:7f:6f:63:7f,-87),(d8:9d:67:91:d0:f1,-44),(00:03:52:2b:89:c9,-73),(00:03:52:2b:89:c8,-72),(2c:30:33:1d:9d:cc,-71),(00:23:33:a2:48:b4,-71),(00:3a:9a:51:ab:52,-79),(00:3a:9a:51:ab:54,-81),(00:03:52:e5:44:42,-77),(00:03:52:e5:44:46,-75),(00:3a:9a:51:ab:56,-83),(2c:30:33:1d:7a:f0,-70),(00:03:52:e5:44:41,-71),

36.000004	5.4
